gene_name	n_lineages	n_transcripts	lineages	transcripts
ADRM1	3	3	neurons,astrocytes,microglia	ISOT-1ddd-87ee-f22d-3517:s62302050:e62308900:AP:FL,ISOT-3402-eff9-c9ec-9b93:s62302850:e62308900:AP:FL,ISOT-7c18-e23b-3a24-8d35:s62302950:e62308900:AP:FL
ADSL	3	2	neurons,astrocytes,microglia	ISOT-3991-c91a-9b50-8ba9:s40346500:e40367000:AP:FL,ISOT-9c66-146b-3a5b-f634:s40346500:e40369400:AP:FL
ADSS2	2	2	neurons,microglia	ISOT-482e-06e4-4c10-3f05:s244408650:e244451950:NC:FL,ISOT-636f-505f-9ab9-ce99:s244408800:e244451900:NC:FL
AFAP1	3	2	neurons,astrocytes,microglia	ISOT-72ab-7905-5484-e814:s7758700:e7939950:AP:FL,ISOT-ed1a-1913-0bf7-8603:s7763500:e7939850:EC:FL
AGGF1	2	2	neurons,astrocytes	ISOT-04ee-6dab-2064-f7b4:s77030400:e77065250:AP:FL,ISOT-bd95-78d4-10f9-be0d:s77030400:e77059700:AP:FL
AGTRAP	3	2	neurons,astrocytes,microglia	ISOT-2258-7cd2-a2be-e5fd:s11736100:e11750800:AP:FL,ISOT-8874-ccbc-1388-3a30:s11736100:e11750800:AP:FL
AHCYL1	2	2	neurons,astrocytes	ISOT-27b4-bb77-d219-637a:s109984750:e110023750:AP:FL,ISOT-389e-1db2-7d09-b60c:s109985100:e110023750:DN:FL
AIF1	3	9	neurons,astrocytes,microglia	ISOT-1254-536a-a9e8-eef8:s31615950:e31617050:AP:FL,ISOT-429e-b2e5-5c96-a50b:s31615200:e31617050:AP:FL,ISOT-78f1-d6b8-029a-1e77:s31615200:e31617050:AP:FL,ISOT-7cf7-4d9d-8a98-eada:s31615250:e31617050:EC:FL,ISOT-84e5-aadb-20b6-0602:s31615100:e31616550:AP:FL,ISOT-9da1-ee5a-e7ba-ae6a:s31615250:e31617050:EC:FL,ISOT-b379-e2c7-c16a-1f7f:s31615200:e31617050:EC:FL,ISOT-c73b-42a0-0417-064d:s31615200:e31617050:AP:FL,ISOT-dba9-1f5f-e7c8-327e:s31615250:e31617050:EC:FL
AIF1L	3	2	neurons,astrocytes,microglia	ISOT-df1d-bf93-fa82-5fcc:s131096500:e131123150:AP:FL,ISOT-f3b1-0802-fc17-9746:s131096500:e131121250:DN:FL
AIMP1	3	3	neurons,astrocytes,microglia	ISOT-ce88-ac57-bd62-7a80:s106316550:e106349500:AP:FL,ISOT-d05a-c487-9b3c-e2ed:s106315550:e106328250:DN:FL,ISOT-df6b-285f-e4b3-756f:s106315550:e106347800:DN:FL
AK2	3	3	neurons,astrocytes,microglia	ISOT-99bc-fd9d-2daf-b416:s33007950:e33036900:AP:FL,ISOT-a0de-42be-2e4e-3cde:s33009900:e33036850:NC:FL,ISOT-e5e5-a7a5-258c-e840:s33010100:e33036900:AP:FL
AK3	3	2	neurons,astrocytes,microglia	ISOT-de7d-2a7c-86d4-6fa5:s4709550:e4741250:AP:FL,ISOT-e9fc-2ffe-8853-452a:s4709550:e4741800:AP:FL
AKAP12	3	2	neurons,astrocytes,microglia	ISOT-c107-297f-df20-172e:s151241000:e151350250:AP:FL,ISOT-f3d1-9da0-a125-6f7c:s151239950:e151358600:AP:FL
AKAP6	3	3	neurons,astrocytes,microglia	ISOT-34af-aa41-1dbe-b76d:s32329250:e32837700:AP:FL,ISOT-511a-0ae5-e14f-c994:s32203550:e32546700:NC:FL,ISOT-73ee-03b6-83ca-4871:s32600600:e32830850:DN:FL
AKAP9	3	6	neurons,astrocytes,microglia	ISOT-279e-5962-1787-0e1a:s91940850:e92000950:EC:FL,ISOT-33e8-e917-3b6d-7cba:s91940850:e92000950:EC:FL,ISOT-57be-486f-701d-9da6:s92070900:e92110700:AP:FL,ISOT-ccf4-9fd8-6d42-d88b:s91940850:e91995750:EC:FL,ISOT-ceac-b569-367b-48bb:s92083150:e92110700:NC:FL,ISOT-fa4c-add0-4f76-cedd:s91940900:e92041800:AP:FL
AKIP1	3	2	neurons,astrocytes,microglia	ISOT-70e1-c225-aedb-89ad:s8911150:e8920100:AP:FL,ISOT-92e4-abf3-dca0-afd6:s8911100:e8920100:AP:FL
AKIRIN2	3	2	neurons,astrocytes,microglia	ISOT-0e59-da74-9f4b-e732:s87674900:e87702150:DN:FL,ISOT-da2c-b8eb-14f8-90f1:s87674850:e87702250:AP:FL
AKR1A1	2	4	neurons,microglia	ISOT-4adc-74fd-a4c6-a4db:s45550800:e45570050:EC:FL,ISOT-61c1-202f-b073-a4fc:s45550800:e45570050:AP:FL,ISOT-927f-fdcd-468d-2bff:s45550750:e45570050:AP:FL,ISOT-a10b-76ed-e5ff-96dc:s45550450:e45570050:AP:FL
AKR1C1	3	2	neurons,astrocytes,microglia	ISOT-0e47-bde3-5082-4a9a:s4963300:e4968350:AP:FL,ISOT-7deb-65d3-7880-c662:s4963400:e4983300:AP:FL
ALCAM	3	3	neurons,astrocytes,microglia	ISOT-37ad-7a0b-1922-ef24:s105366550:e105576950:AP:FL,ISOT-3c7d-2104-791f-7ece:s105366900:e105576950:AP:FL,ISOT-44db-68c7-1a78-c96e:s105367300:e105576900:AP:FL
ALDH7A1	3	3	neurons,astrocytes,microglia	ISOT-19fc-9b9e-6fb8-1f39:s126543200:e126595200:NC:FL,ISOT-8a6f-d67e-bb94-f7c9:s126544750:e126595250:AP:FL,ISOT-a998-bc3a-2cba-ec40:s126544750:e126595250:EC:FL
ALDOA	3	2	neurons,astrocytes,microglia	ISOT-37f9-ae7a-32b8-6bf2:s30064250:e30070450:AP:FL,ISOT-98c0-c496-84d9-73d1:s30065750:e30070450:AP:FL
ALG3	3	2	neurons,astrocytes,microglia	ISOT-45a6-4a80-e111-ae4f:s184242300:e184249000:AP:FL,ISOT-4b2b-3f85-c70d-e552:s184242400:e184248950:EC:FL
ALOX5	3	3	neurons,astrocytes,microglia	ISOT-0df8-3140-d0d6-1ea7:s45374200:e45446150:NC:FL,ISOT-6166-1e80-e043-eead:s45374200:e45446150:AP:FL,ISOT-a359-c24e-3098-f74c:s45374200:e45446150:NC:FL
ALOX5AP	3	2	neurons,astrocytes,microglia	ISOT-0c11-707d-5184-7b92:s30713450:e30764450:AP:FL,ISOT-6cf8-cdae-f53c-735b:s30735500:e30764450:AP:FL
AMD1	2	2	astrocytes,microglia	ISOT-42fd-badb-b9ab-7c40:s110874750:e110898900:AP:FL,ISOT-ad2e-44e8-683d-4f39:s110874750:e110895750:AP:FL
AMZ2	3	2	neurons,astrocytes,microglia	ISOT-241d-0abc-698b-7c4e:s68248000:e68257200:AP:FL,ISOT-c2b3-f694-bf4e-daf6:s68248000:e68257200:AP:FL
ANAPC11	3	7	neurons,astrocytes,microglia	ISOT-1253-505e-eb08-80b0:s81891700:e81900300:AP:FL,ISOT-1764-b915-4419-76d6:s81891900:e81900300:AP:FL,ISOT-296f-a634-77dc-3ea5:s81891700:e81900400:AP:FL,ISOT-4fdb-3dac-20bc-5bed:s81891700:e81900400:AP:FL,ISOT-5d51-dcaf-551a-24f8:s81891700:e81900400:AP:FL,ISOT-b2c5-aac8-fb45-157e:s81891700:e81900300:AP:FL,ISOT-c7ae-9779-f327-55d4:s81891700:e81900300:AP:FL
ANAPC13	3	2	neurons,astrocytes,microglia	ISOT-65e4-52bf-78d9-c098:s134477700:e134486050:AP:FL,ISOT-ac23-1c96-c486-a15f:s134477700:e134486000:AP:FL
ANAPC15	3	3	neurons,astrocytes,microglia	ISOT-3e2c-1bbc-f929-7dc5:s72109550:e72112800:AP:FL,ISOT-4523-75f5-da5b-978b:s72109550:e72113100:AP:FL,ISOT-dd86-0e5c-62de-7bf7:s72109550:e72112800:AP:FL
ANAPC16	3	4	neurons,astrocytes,microglia	ISOT-4b8f-211b-f676-0942:s72216000:e72233450:NC:FL,ISOT-e8b7-a35a-f7ac-327c:s72215950:e72233850:AP:FL,ISOT-fad2-bf12-ed08-2e0f:s72215950:e72233850:AP:FL,ISOT-fffe-9582-7739-6fae:s72216000:e72235900:AP:FL
ANAPC5	3	3	neurons,astrocytes,microglia	ISOT-0c07-3d8d-752b-a9cf:s121308350:e121352400:AP:FL,ISOT-6c13-85da-d822-a851:s121308200:e121352450:AP:FL,ISOT-e9fd-f2b2-882e-bd7d:s121308350:e121352400:NC:FL
ANK2	3	6	neurons,astrocytes,microglia	ISOT-17e4-8b62-400a-e351:s112818100:e113384250:AP:FL,ISOT-18f0-5f4b-24a2-3ce4:s112818100:e113384000:AP:FL,ISOT-237c-d544-b734-b674:s113354950:e113383750:AP:FL,ISOT-2465-3374-bb01-5403:s112818100:e113383750:AP:FL,ISOT-c46f-e747-681e-3c95:s112818100:e113383750:AP:FL,ISOT-e5ae-5881-8562-4611:s112818100:e113383750:AP:FL
ANK3	3	7	neurons,astrocytes,microglia	ISOT-11c1-09bf-78cf-9851:s60508100:e60573100:AP:FL,ISOT-5882-8f00-b0c6-b331:s60028400:e60064300:NC:FL,ISOT-7071-a635-b253-8295:s60029650:e60072250:AP:FL,ISOT-7dac-bc89-7a65-267a:s60234250:e60390250:AP:FL,ISOT-a581-9770-e735-766c:s60028400:e60733500:AP:FL,ISOT-b963-de40-3a15-7434:s60063100:e60072600:AP:FL,ISOT-cc81-6fd9-6502-a011:s60026250:e60389900:AP:FL
ANKRD12	3	3	neurons,astrocytes,microglia	ISOT-3c77-0219-5cbb-38c2:s9136750:e9256000:AP:FL,ISOT-6aa0-bda1-dfc4-0b72:s9137550:e9283800:AP:FL,ISOT-af60-68d9-28e8-dda0:s9136750:e9286000:AP:FL
ANKRD26	3	2	neurons,astrocytes,microglia	ISOT-798b-b762-ff95-4c3e:s27064000:e27100450:NC:FL,ISOT-8fbb-0989-b6eb-7585:s27004100:e27100500:AP:FL
ANKRD50	3	2	neurons,astrocytes,microglia	ISOT-b5f5-96a7-7efc-5cf4:s124672050:e124712800:AP:FL,ISOT-ee27-e238-2bf4-2d82:s124664000:e124712750:AP:FL
ANP32E	3	2	neurons,astrocytes,microglia	ISOT-96f6-c901-95fd-0ea3:s150218400:e150236150:AP:FL,ISOT-c10a-890d-c71d-d865:s150223200:e150236200:AP:FL
ANXA11	3	2	neurons,astrocytes,microglia	ISOT-edcf-ef47-922f-7931:s80155550:e80205550:EC:FL,ISOT-fd21-722b-2eb7-97c3:s80155550:e80205550:NC:FL
ANXA2	3	12	neurons,astrocytes,microglia	ISOT-1248-cf27-bf6f-0d70:s60347150:e60398000:AP:FL,ISOT-13ca-cedf-f119-a6f6:s60347100:e60398000:AP:FL,ISOT-44ba-6799-f7ad-a4fd:s60347200:e60398200:DN:FL,ISOT-4b56-1e8d-6e7a-1c04:s60347300:e60398200:DN:FL,ISOT-65cd-f2fa-7649-1a49:s60347300:e60398000:EC:FL,ISOT-86b3-e302-31aa-b178:s60347300:e60398000:NC:FL,ISOT-a5ce-8113-79ee-745c:s60347300:e60398000:EC:FL,ISOT-b524-b80a-b980-852a:s60347300:e60398000:EC:FL,ISOT-bb51-e348-85ab-2060:s60347300:e60398200:AP:FL,ISOT-be82-0acf-1005-579e:s60347200:e60398050:AP:FL,ISOT-ddc7-5411-b1ae-18fa:s60347300:e60398000:AP:FL,ISOT-e65d-161e-e69c-fb32:s60347300:e60398000:AP:FL
ANXA6	3	3	neurons,astrocytes,microglia	ISOT-126c-b429-eae4-ee4b:s151101100:e151157850:AP:FL,ISOT-1768-3847-aa29-d6cf:s151100700:e151157800:AP:FL,ISOT-58ee-d477-0409-6aab:s151101100:e151157800:NC:FL
AP1B1	3	3	neurons,astrocytes,microglia	ISOT-a39f-98ea-0e5d-04eb:s29327850:e29388550:NC:FL,ISOT-a7a7-886c-7e8e-16ba:s29327850:e29388600:NC:FL,ISOT-d464-c9e0-b8f0-c656:s29327650:e29388600:AP:FL
AP1S2	3	2	neurons,astrocytes,microglia	ISOT-335b-cbd8-5853-8de0:s15825800:e15854950:AP:FL,ISOT-a2e0-a734-87f5-b86a:s15825800:e15854850:AP:FL
AP2A1	3	2	neurons,astrocytes,microglia	ISOT-6aed-14a0-d634-e171:s49767000:e49807150:AP:FL,ISOT-e95d-1edb-38d5-7d60:s49767000:e49807150:AP:FL
AP2B1	3	3	neurons,astrocytes,microglia	ISOT-7343-5d47-a049-1682:s35586800:e35598300:AP:FL,ISOT-91e9-d927-45a3-e7ba:s35587300:e35724100:NC:FL,ISOT-b2ba-c170-c21b-3e3b:s35587300:e35726450:AP:FL
AP2S1	3	5	neurons,astrocytes,microglia	ISOT-48a3-488b-b4ac-93fd:s46838150:e46850350:AP:FL,ISOT-5336-09e1-567f-1b77:s46838150:e46850850:AP:FL,ISOT-666e-99c2-cb46-5b31:s46845650:e46850850:AP:FL,ISOT-9388-c101-798b-1050:s46838150:e46850850:AP:FL,ISOT-eaa4-e089-2b3e-53d3:s46838100:e46850800:AP:FL
AP3B1	3	3	neurons,astrocytes,microglia	ISOT-173d-19e3-6f0b-a3d6:s78002300:e78294700:EC:FL,ISOT-c9ea-867e-e2d0-6429:s78002300:e78034400:AP:FL,ISOT-d6fe-bf3f-036a-fad3:s78089300:e78294750:AP:FL
AP3S1	3	2	neurons,astrocytes,microglia	ISOT-08cb-1d98-4d5e-42ff:s115841900:e115914100:AP:FL,ISOT-c1f7-8da4-cf2f-f091:s115841900:e115914000:NC:FL
APBB1	2	2	neurons,microglia	ISOT-d8f8-9f93-580c-c877:s6395100:e6419100:NC:FL,ISOT-dfab-d11d-4876-f76a:s6395100:e6419100:AP:FL
APBB1IP	3	2	neurons,astrocytes,microglia	ISOT-4e80-3137-ac2f-6d69:s26438300:e26567850:AP:FL,ISOT-ca2c-86ed-b73d-3762:s26438200:e26536250:AP:FL
APC	3	7	neurons,astrocytes,microglia	ISOT-0ccd-1290-ef47-5dc3:s112707500:e112846150:AP:FL,ISOT-1647-d716-4b53-5180:s112737850:e112844500:AP:FL,ISOT-50b5-e09d-422c-f63c:s112737850:e112828950:EC:FL,ISOT-7ad9-2a50-665c-2f7e:s112707400:e112775700:AP:FL,ISOT-7b0b-5fc6-bb43-bd70:s112737850:e112846250:AP:FL,ISOT-aee6-6b69-21fe-3725:s112707600:e112828950:EC:FL,ISOT-b872-883b-b1af-b3bd:s112707550:e112841750:AP:FL
APC2	3	2	neurons,astrocytes,microglia	ISOT-1bd9-e462-a263-d18a:s1452150:e1473250:AP:FL,ISOT-8793-9732-3e6c-9ec6:s1450100:e1473250:AP:FL
APEX1	3	3	neurons,astrocytes,microglia	ISOT-1beb-9cd5-18d6-e0a6:s20455200:e20457800:AP:FL,ISOT-eab6-2d4c-34ee-1f75:s20455200:e20457750:AP:FL,ISOT-fbab-5f4c-cd4c-6be9:s20455150:e20457800:AP:FL
APH1A	3	3	neurons,astrocytes,microglia	ISOT-6b57-e739-bd23-47e2:s150265400:e150268800:DN:FL,ISOT-ee43-6c65-2dae-d4c7:s150265400:e150269350:AP:FL,ISOT-fd12-524b-2fe6-f3b9:s150265400:e150269050:AP:FL
APLP1	3	5	neurons,astrocytes,microglia	ISOT-19b2-f8de-efdc-343a:s35868500:e35879850:NC:FL,ISOT-3bc5-c5dc-355f-a257:s35868550:e35879800:EC:FL,ISOT-ac9c-dc1a-d542-779c:s35868550:e35879800:AP:FL,ISOT-b615-97c7-0114-b25b:s35868550:e35879800:NC:FL,ISOT-e02c-2f1a-9a6f-91cb:s35868500:e35879800:NC:FL
APLP2	3	7	neurons,astrocytes,microglia	ISOT-22c4-83b5-8f06-8bbe:s130069850:e130144850:NC:FL,ISOT-2312-a7ce-c831-d4bf:s130069850:e130144850:AP:FL,ISOT-5c99-cbe4-5fb8-b1a5:s130069900:e130144850:DN:FL,ISOT-7415-784e-4201-a68a:s130069900:e130144850:AP:FL,ISOT-8e4e-248d-e0d9-88aa:s130069850:e130143850:AP:FL,ISOT-93ca-369e-b084-5805:s130069850:e130140500:NC:FL,ISOT-e882-1010-6fc8-1a56:s130069850:e130144850:AP:FL
APOBR	3	2	neurons,astrocytes,microglia	ISOT-54ef-c143-cd6a-d670:s28496250:e28499000:AP:FL,ISOT-9ed3-903f-9501-8f5b:s28494600:e28499000:AP:FL
APOC1	3	5	neurons,astrocytes,microglia	ISOT-0a41-4032-0e7b-e63e:s44914700:e44919350:AP:FL,ISOT-2211-3aa5-7d12-d69f:s44914300:e44919350:AP:FL,ISOT-2711-cd9c-008b-a76c:s44914200:e44919350:AP:FL,ISOT-619a-af1f-4b7e-22eb:s44914600:e44919350:AP:FL,ISOT-753e-17c8-4a18-98eb:s44914300:e44919350:EC:FL
APOO	2	2	neurons,microglia	ISOT-2b1a-bb67-9163-6a08:s23833350:e23907750:EC:FL,ISOT-88a3-0372-30e7-5974:s23833350:e23907950:AP:FL
APP	3	4	neurons,astrocytes,microglia	ISOT-1ea9-b6b6-337d-c4d8:s25880550:e26170750:AP:FL,ISOT-8ea6-8bf7-f94b-ba98:s25880550:e26170800:AP:FL,ISOT-ab10-93fd-f8f7-29bd:s25880550:e26170800:AP:FL,ISOT-e24c-eb24-a7d0-95b6:s25880550:e26170800:AP:FL
APPL1	2	3	neurons,microglia	ISOT-2cd1-35f6-712d-41e1:s57227850:e57268500:NC:FL,ISOT-787a-c4ff-7c91-5b6c:s57227700:e57273500:AP:FL,ISOT-cebd-51c2-365d-7021:s57227750:e57268450:NC:FL
APRT	3	2	neurons,astrocytes,microglia	ISOT-6712-05e9-a844-2e77:s88809300:e88811950:AP:FL,ISOT-6962-0c7f-2d74-1b3a:s88809450:e88811950:AP:FL
ARCN1	3	3	neurons,astrocytes,microglia	ISOT-0acf-f589-d161-df0c:s118572400:e118602950:NC:FL,ISOT-5ab9-a6e3-5b74-211b:s118572400:e118603050:AP:FL,ISOT-dbf4-9d8e-55e3-2f68:s118572400:e118603050:AP:FL
ARF5	2	2	neurons,microglia	ISOT-6e4f-9821-0c24-4176:s127551250:e127591750:AP:FL,ISOT-fc8d-bfa6-0b80-b1b6:s127588400:e127591750:AP:FL
ARF6	3	2	neurons,astrocytes,microglia	ISOT-0000-0000-0000-a235:s49893050:e49897100:AP:FL,ISOT-d5b6-d2e1-2044-df2e:s49893050:e49897100:AP:FL
ARFGAP3	2	2	astrocytes,microglia	ISOT-7d34-16b2-8ed8-69e0:s42796500:e42857300:AP:FL,ISOT-ea2b-4708-9f47-756a:s42817750:e42857450:AP:FL
ARFGEF1	3	3	neurons,astrocytes,microglia	ISOT-2375-bd55-fe3c-f04c:s67253450:e67343950:AP:FL,ISOT-251e-c47e-187b-05ca:s67197650:e67343800:AP:FL,ISOT-81e6-1259-4cb2-333e:s67253450:e67343300:NC:FL
ARFIP2	3	2	neurons,astrocytes,microglia	ISOT-44a7-1398-9b95-cb4f:s6475650:e6481350:AP:FL,ISOT-d5d0-8b77-d7e3-60df:s6476500:e6481350:AP:FL
ARGLU1	3	6	neurons,astrocytes,microglia	ISOT-1a52-4639-3429-425d:s106543300:e106568150:EC:FL,ISOT-6ec9-9d4a-4f0c-555c:s106543300:e106568200:AP:FL,ISOT-9073-952f-6a70-7772:s106543950:e106568150:EC:FL,ISOT-9a68-0bda-b6d0-fb59:s106544050:e106568150:NC:FL,ISOT-ac44-d930-1951-729b:s106543300:e106568150:AP:FL,ISOT-b46e-3c68-1335-0400:s106541650:e106568150:AP:FL
ARHGAP18	3	4	neurons,astrocytes,microglia	ISOT-230a-5434-6c4b-0d0c:s129576100:e129710200:AP:FL,ISOT-a82e-5235-582c-e006:s129578250:e129710200:NC:FL,ISOT-c6a2-de97-1553-f0e8:s129577700:e129710200:NC:FL,ISOT-cc91-1933-05f4-e8be:s129577350:e129710200:NC:FL
ARHGAP29	3	4	neurons,astrocytes,microglia	ISOT-0904-581b-5ba0-72d7:s94201750:e94237600:EC:FL,ISOT-4dd3-5fc6-e813-de45:s94168900:e94237600:AP:FL,ISOT-4e9a-9864-020c-d5d3:s94201750:e94247850:AP:FL,ISOT-ad52-ab8e-e3bb-b19c:s94201750:e94237600:NC:FL
